Date,SF,SF_lo,SF_hi,FF,FF_lo,FF_hi,FG,FG_lo,FG_hi,GP,GP_lo,GP_hi,LAB,LAB_lo,LAB_hi,SD,SD_lo,SD_hi,SPBP,SPBP_lo,SPBP_hi,AU,AU_lo,AU_hi,OTH,OTH_lo,OTH_hi
08/02/2020,0.244902253,0.244862933,0.244941284,0.221961,0.221908428,0.222015629,0.208965921,0.208915656,0.209019384,0.07102131,0.070975595,0.071067833,0.044032571,0.04398634,0.044079421,0.029038759,0.028992306,0.029085496,0.026039103,0.025993352,0.026085944,0.019042672,0.018996364,0.019088915,0.134996411,0.134948973,0.135044238
09/02/2020,0.246958226,0.242231525,0.251814006,0.219860048,0.210741607,0.228664922,0.210472059,0.203377966,0.217708991,0.070813394,0.065196141,0.076576691,0.043721971,0.04072592,0.046793148,0.029159142,0.027006636,0.031298294,0.026233601,0.024563325,0.028113514,0.019038484,0.017349156,0.020740603,0.133743075,0.123822128,0.144206971
10/02/2020,0.248961679,0.242373934,0.256119587,0.217536333,0.204564367,0.230169102,0.212051148,0.201942972,0.221662291,0.070550524,0.062925346,0.078652465,0.043416722,0.03906889,0.047502594,0.029298713,0.026412424,0.0323882,0.026399612,0.023992228,0.028940335,0.019038119,0.016739148,0.021329716,0.13274715,0.119998155,0.146490209
11/02/2020,0.250968325,0.243187592,0.259556105,0.215488436,0.19986311,0.230307709,0.213528394,0.201353038,0.225522787,0.070202015,0.060977195,0.079547272,0.043098018,0.038158784,0.047979804,0.029464375,0.026100588,0.033276814,0.026605127,0.023698126,0.02983333,0.019054799,0.01627638,0.021889677,0.131590511,0.115572605,0.148852446
12/02/2020,0.252960598,0.243991413,0.263126234,0.21335249,0.196228077,0.229962076,0.21501553,0.200686241,0.228512358,0.069938019,0.060085317,0.080324135,0.042799702,0.037498369,0.048306458,0.029624639,0.025592305,0.033914552,0.026798499,0.023391124,0.030462003,0.019070249,0.016046279,0.022271534,0.130440273,0.113143172,0.149525047
13/02/2020,0.255023842,0.245114589,0.265897939,0.211147673,0.192756327,0.228745059,0.216527533,0.201352265,0.231424685,0.069660907,0.0585447,0.081473311,0.042470954,0.03648982,0.048446764,0.029776505,0.025642591,0.034373401,0.026981796,0.023344902,0.03119107,0.019059539,0.015773106,0.022639449,0.129351251,0.110809596,0.149803245
14/02/2020,0.257149318,0.246290149,0.269183827,0.208808011,0.188965014,0.227097523,0.218093488,0.201595783,0.233679353,0.069325485,0.057789584,0.08187864,0.042145651,0.035657571,0.048328956,0.029930736,0.025475646,0.035103338,0.027133183,0.023158695,0.031823065,0.019061442,0.015611758,0.022950697,0.128352685,0.109117241,0.150149086
15/02/2020,0.259149762,0.247942401,0.271823069,0.206735622,0.185327343,0.226317767,0.219603581,0.202366951,0.235611178,0.06899811,0.057142393,0.081767504,0.041784831,0.035063658,0.048316532,0.030089286,0.025408171,0.035417382,0.027334425,0.023108796,0.032681577,0.019059855,0.015414557,0.023140614,0.127244529,0.107742451,0.149495126
16/02/2020,0.261187451,0.248919282,0.275061564,0.204745542,0.182387191,0.224909241,0.22112402,0.203518079,0.238010161,0.068641985,0.056479665,0.081046008,0.04147149,0.034410037,0.048116408,0.030239398,0.025467423,0.035738533,0.027480581,0.023167963,0.033026476,0.01904488,0.0153342,0.023252219,0.126064654,0.106477384,0.148457125
17/02/2020,0.263264447,0.250038585,0.278024952,0.20264551,0.179436459,0.223677141,0.22261602,0.204430133,0.239789554,0.068272464,0.056444152,0.080603926,0.04113482,0.033905045,0.04802079,0.030412885,0.025464854,0.036225735,0.027647589,0.023222285,0.033593032,0.019024239,0.015238342,0.023232819,0.124982027,0.105583354,0.147419543
